ID,TriggerQuestion,DialogueJumpMin,DialogueJumpMax,Anwser_ENG,Anwser_CHT,Anwser_CHS,Anwser_JP,Anwser_KR,Remark
93,92,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
94,92,93,97,Start tutorial,開始講解,开始讲解,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,102,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
104,102,103,109,Start tutorial,開始講解,开始讲解,,,
105,,,,,,,,,
106,,,,,,,,,
107,,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
111,,,,,,,,,
112,,,,,,,,,
113,112,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
114,112,113,118,Start tutorial,開始講解,开始讲解,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,122,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
124,122,123,127,Start tutorial,開始講解,开始讲解,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,132,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
134,132,133,138,Start tutorial,開始講解,开始讲解,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,142,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
144,142,143,147,Start tutorial,開始講解,开始讲解,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,152,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
154,152,153,157,Start tutorial,開始講解,开始讲解,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,162,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
164,162,163,167,Start tutorial,開始講解,开始讲解,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,172,-999,-999,Skip tutorial,跳過講解,跳过讲解,,,
174,172,173,179,Start tutorial,開始講解,开始讲解,,,
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,193,194,195,SpriteShape function / URP light,SpriteShape 功能 / URP光源,SpriteShape 功能 / URP光源,,,
195,193,194,195,Splines function / HDRP light,Splines 功能 / HDRP光源,Splines 功能 / HDRP光源,,,
196,193,196,198,TileMap function / URP light,TileMap 功能 / URP光源,TileMap 功能 / URP光源,,,
197,193,194,195,TileMap Features / HDRP light,TileMap 功能 / HDRP光源,TileMap 功能 / HDRP光源,,,
198,,,,,,,,,
199,198,199,200,TlieMap impact,TlieMap的影響,TlieMap的影响,,,
200,198,199,200,State machine of ground determiner,地面判定器的狀態機,地面判定器的状态机,,,
201,198,199,200,Physics collision feedback for collider,碰撞器的物理碰撞反應,碰撞器的物理碰撞反应,,,
202,198,201,203,Enter the feedback value of the system,輸入系統的反回值,输入系统的反回值,,,
203,,,,,,,,,
204,203,204,205,Animation,動畫檔案,动画档案,,,
205,203,206,208,Animator,動畫控制器,动画控制器,,,
206,,,,,,,,,
207,,,,,,,,,
208,,,,,,,,,
209,208,211,213,Collision of objects on both sides > Damage system obtains attributes > Damage calculation feedback > Deduction of enemy HP,雙方物件碰撞 > 傷害系統獲得屬性 > 傷害計算反回值 > 扣除敵人HP,双方对象碰撞 > 伤害系统获得属性 > 伤害计算反回值 > 扣除敌人HP,,,
210,208,209,210,Collision between objects on both sides > Direct calculation of damage value based on attributes of both parties > Deduction of enemy HP,雙方物件碰撞 > 雙方屬性直接計算傷害值 > 扣除敵人HP,双方对象碰撞 > 双方属性直接计算伤害值 > 扣除敌人HP,,,
211,208,209,210,Collision between objects on both sides > Produce fixed damage value > Deduct enemy HP,雙方物件碰撞 > 產生固定傷害值 > 扣除敵人HP,双方对象碰撞 > 产生固定伤害值 > 扣除敌人HP,,,
212,,,,,,,,,
213,,,,,,,,,
214,213,214,215,Transform / CanvasGroup / Image / Text,Transform / CanvasGroup / Image / Text,Transform / CanvasGroup / Image / Text,,,
215,213,214,215,RectTransform / Canvas/Image / Text,RectTransform / Canvas / Image / Text,RectTransform / Canvas / Image / Text,,,
216,213,216,218,RectTransform / CanvasGroup / Image / Text,RectTransform / CanvasGroup / Image / Text,RectTransform / CanvasGroup / Image / Text,,,
217,213,214,215,RectTransform / CanvasGroup / SpriteRenderer / Text,RectTransform / CanvasGroup / SpriteRenderer / Text,RectTransform / CanvasGroup / SpriteRenderer / Text,,,
218,,,,,,,,,
219,218,219,220,[1] Image,[1] Image,[1] Image,,,
220,218,219,220,[2] RectTransform,[2] RectTransform,[2] RectTransform,,,
221,218,221,223,Both components 1 and 2 are,組件1和2都是,组件1和2都是,,,
222,218,219,220,Neither components 1 nor 2 are,組件1和2都不是,组件1和2都不是,,,
223,,,,,,,,,
224,223,226,228,[Save] Get target parameters > Save in Xml mode / [Read and write] Read Xml > Synchronize parameters to the target,[保存] 取得目標參數 > Xml方式保存 / [讀寫] 讀取Xml > 參數同步至目標,[保存] 取得目标参数 > Xml方式保存 / [读写] 读取Xml > 参数同步至目标,,,
225,223,224,225,[Save] Get target parameters > Save in Txt mode / [Read and write] Read Txt > Synchronize parameters to the target,[保存] 取得目標參數 > Txt 方式保存 / [讀寫] 讀取Txt > 參數同步至目標,[保存] 取得目标参数 > Txt 方式保存 / [读写] 读取Txt > 参数同步至目标,,,
226,223,224,225,[Save] Get target parameters > Save in Csv mode / [Read and write] Read Csv > Synchronize parameters to the target,[保存] 取得目標參數 > Csv 方式保存 / [讀寫] 讀取Csv > 參數同步至目標,[保存] 取得目标参数 > Csv 方式保存 / [读写] 读取Csv > 参数同步至目标,,,
227,223,224,225,[Save] Save Xml through the game setting system / [Read and write] Read and write Xml through the game setting system,[保存] 透過遊戲設定系統進行Xml保存 / [讀寫]  透過遊戲設定系統進行Xml讀寫,[保存] 透过游戏设定系统进行Xml保存 / [读写]  透过游戏设定系统进行Xml读写,,,
228,,,,,,,,,
229,228,229,230,[1] Ray detection,[1] 射線檢測,[1] 射线检测,,,
230,228,229,230,[2] Collision detection,[2] 碰撞檢測,[2] 碰撞检测,,,
231,228,231,233,Both components 1 and 2 are,組件1和2都是,组件1和2都是,,,
232,228,229,230,Neither components 1 nor 2 are,組件1和2都不是,组件1和2都不是,,,
233,,,,,,,,,
234,233,234,235,Slide against the wall > Press jump button > Bounce,貼牆滑行 > 按跳躍鍵 > 彈跳,贴墙滑行 > 按跳跃键 > 弹跳,,,
235,233,234,235,Hit the wall state > Slide against the wall > Press the jump button > Bounce,撞牆狀態 > 貼牆滑行 > 按跳躍鍵 > 彈跳,撞墙状态 > 贴墙滑行 > 按跳跃键 > 弹跳,,,
236,233,234,235,Hitting the wall state > Movement detection > Press jump key > Bounce,撞牆狀態 > 移動檢測 > 按跳躍鍵 > 彈跳,撞墙状态 > 移动检测 > 按跳跃键 > 弹跳,,,
237,233,236,238,Hit the wall state > Air state > Slide against the wall > Press the jump button > Bounce,撞牆狀態 > 空中狀態 > 貼牆滑行 > 按跳躍鍵 > 彈跳,撞墙状态 > 空中状态 > 贴墙滑行 > 按跳跃键 > 弹跳,,,
238,,,,,,,,,
239,238,239,240,Jump / Slide,跳躍 / 滑行,跳跃 / 滑行,,,
240,238,239,240,Menu / Slide,菜單 / 滑行,菜单 / 滑行,,,
241,238,239,240,Jump / Dash,跳躍 / 衝刺,跳跃 / 冲刺,,,
242,238,241,243,Slide / Dash,滑行 / 衝刺,滑行 / 冲刺,,,
243,,,,,,,,,
244,243,246,248,Feeling of impact,打擊感,打击感,,,
245,243,244,245,Rhythm sense,節奏感,节奏感,,,
246,243,244,245,Artistic sense,美術感,美术感,,,
247,,,,,,,,,
248,,,,,,,,,
249,248,249,250,Directly modify the input mapping keys of Unity's own input system,直接修改 Unity 自帶輸入系統的輸入映射鍵,直接修改 Unity 自带输入系统的输入映像键,,,
250,248,251,253,Modify the corresponding KeyCode of the exclusive input system through the menu,透過菜單修改專屬輸入系統的對應鍵碼,透过菜单修改专属输入系统的对应键码,,,
251,248,249,250,Modify the feedback value of the exclusive input system through the menu,透過菜單修改專屬輸入系統的反回值,透过菜单修改专属输入系统的反回值,,,
252,248,249,250,Directly modify the corresponding KeyCode of the exclusive input system,直接修改專屬輸入系統的對應鍵碼,直接修改专属输入系统的对应键码,,,
253,,,,,,,,,
254,253,254,255,Player input command > play music,玩家輸入指令 > 播放音樂,玩家输入指令 > 播放音乐,,,
255,253,256,258,The player enters a command > triggers the sound system > plays music,玩家輸入指令 > 觸發聲音系統 > 播放音樂,玩家输入指令 > 触发声音系统 > 播放音乐,,,
256,253,254,255,Character Collision Trigger > Play Music,角色碰撞觸發器 > 播放音樂,角色碰撞触发器 > 播放音乐,,,
257,253,254,255,Character collision triggers > Trigger sound system > Play music,角色碰撞觸發器 > 觸發聲音系統 > 播放音樂,角色碰撞触发器 > 触发声音系统 > 播放音乐,,,
258,,,,,,,,,
259,258,259,260,[1] Optimize unnecessary repetitive code,[1] 優化不必要的重複性代碼,[1] 优化不必要的重复性代码,,,
260,258,259,260,[2] Unified calling， system architecture slimming down,[2] 統一調用，系統架構瘦身,[2] 统一调用，系统架构减肥,,,
261,258,261,265,Optimization 1 and 2 are both,優化1和2都是,优化1和2都是,,,
262,258,259,260,Neither Optimization 1 nor 2,優化1和2都不是,优化1和2都不是,,,
263,,,,,,,,,
264,,,,,,,,,
265,,,,,,,,,
266,,,,,,,,,
267,,,,,,,,,
268,,,,,,,,,
269,,,,,,,,,
270,,,,,,,,,
